2025-01-27T17:43:16.417882Z [info     ] 2025-01-27 14:43:16,417 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.002348184585571289, "tags": {"stream": "products", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.418100Z [info     ] 2025-01-27 14:43:16,417 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.418256Z [info     ] 2025-01-27 14:43:16,418 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.418366Z [info     ] 2025-01-27 14:43:16,418 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.418727Z [info     ] 2025-01-27 14:43:16,418 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00033974647521972656, "tags": {"stream": "region", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.418876Z [info     ] 2025-01-27 14:43:16,418 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.418989Z [info     ] 2025-01-27 14:43:16,418 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.419100Z [info     ] 2025-01-27 14:43:16,418 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.419385Z [info     ] 2025-01-27 14:43:16,419 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00029206275939941406, "tags": {"stream": "shippers", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.419505Z [info     ] 2025-01-27 14:43:16,419 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
