2025-01-27T17:41:27.011162Z [info     ] 2025-01-27 14:41:27,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "products", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011278Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011399Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011543Z [info     ] 2025-01-27 14:41:27,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.000148773193359375, "tags": {"stream": "region", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011658Z [info     ] 2025-01-27 14:41:27,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011792Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.011902Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.012043Z [info     ] 2025-01-27 14:41:27,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0001888275146484375, "tags": {"stream": "shippers", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.012155Z [info     ] 2025-01-27 14:41:27,011 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.012258Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.012360Z [info     ] 2025-01-27 14:41:27,011 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.012798Z [info     ] 2025-01-27 14:41:27,012 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0007350444793701172, "tags": {"stream": "suppliers", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.012926Z [info     ] 2025-01-27 14:41:27,012 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.013038Z [info     ] 2025-01-27 14:41:27,012 | INFO     | tap-csv.territories  | Beginning full_table sync of 'territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.013174Z [info     ] 2025-01-27 14:41:27,012 | INFO     | tap-csv.territories  | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.014160Z [info     ] 2025-01-27 14:41:27,014 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0011241436004638672, "tags": {"stream": "territories", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.014290Z [info     ] 2025-01-27 14:41:27,014 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 53, "tags": {"stream": "territories", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.014417Z [info     ] 2025-01-27 14:41:27,014 | INFO     | tap-csv.us_states    | Beginning full_table sync of 'us_states'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.014567Z [info     ] 2025-01-27 14:41:27,014 | INFO     | tap-csv.us_states    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.015857Z [info     ] 2025-01-27 14:41:27,015 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0014412403106689453, "tags": {"stream": "us_states", "pid": 98347, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
2025-01-27T17:41:27.016039Z [info     ] 2025-01-27 14:41:27,015 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 51, "tags": {"stream": "us_states", "pid": 98347, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=84603735-2bec-4f2b-b6c1-2621a29603b9 stdio=stderr string_id=tap-csv
