2025-01-26T21:11:41.067492Z [info     ] 2025-01-26 18:11:41,067 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.067589Z [info     ] 2025-01-26 18:11:41,067 | INFO     | target-csv._stream_name__.split('-')[1] | Initializing target sink for stream '_stream_name__.split('-')[1]'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.068593Z [info     ] 2025-01-26 18:11:41,068 | INFO     | target-csv._stream_name__.split('-')[1] | Setting up _stream_name__.split('-')[1] cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.074792Z [info     ] 2025-01-26 18:11:41,074 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007699728012084961, "tags": {"stream": "public-customer_demographics", "pid": 31163, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.075023Z [info     ] 2025-01-26 18:11:41,074 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 31163, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.075257Z [info     ] 2025-01-26 18:11:41,075 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.075363Z [info     ] 2025-01-26 18:11:41,075 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=tap-postgres
2025-01-26T21:11:41.075747Z [info     ] 2025-01-26 18:11:41,075 | INFO     | target-csv           | Schema has changed for stream '_stream_name__.split('-')[1]'. Mapping definitions will be reset. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.075864Z [info     ] 2025-01-26 18:11:41,075 | INFO     | target-csv           | Schema or key properties for '_stream_name__.split('-')[1]' stream have changed. Initializing a new '_stream_name__.split('-')[1]' sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
2025-01-26T21:11:41.075980Z [info     ] 2025-01-26 18:11:41,075 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=bbb209f2-bcc1-4557-8302-a8cfb7c0e0ff stdio=stderr string_id=target-csv
