2025-01-26T20:32:12.865967Z [info     ] 2025-01-26 17:32:12,865 | INFO     | tap-csv.public-region | Beginning full_table sync of 'public-region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.866122Z [info     ] 2025-01-26 17:32:12,865 | INFO     | tap-csv.public-region | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.866307Z [info     ] 2025-01-26 17:32:12,865 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00017595291137695312, "tags": {"stream": "public-region", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.866451Z [info     ] 2025-01-26 17:32:12,866 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "public-region", "pid": 23627, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.866592Z [info     ] 2025-01-26 17:32:12,866 | INFO     | tap-csv.public-shippers | Beginning full_table sync of 'public-shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.866733Z [info     ] 2025-01-26 17:32:12,866 | INFO     | tap-csv.public-shippers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.866911Z [info     ] 2025-01-26 17:32:12,866 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00020241737365722656, "tags": {"stream": "public-shippers", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.867057Z [info     ] 2025-01-26 17:32:12,866 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "public-shippers", "pid": 23627, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.867191Z [info     ] 2025-01-26 17:32:12,866 | INFO     | tap-csv.public-suppliers | Beginning full_table sync of 'public-suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.867341Z [info     ] 2025-01-26 17:32:12,866 | INFO     | tap-csv.public-suppliers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.867816Z [info     ] 2025-01-26 17:32:12,867 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0010166168212890625, "tags": {"stream": "public-suppliers", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.868006Z [info     ] 2025-01-26 17:32:12,867 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "public-suppliers", "pid": 23627, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.868147Z [info     ] 2025-01-26 17:32:12,867 | INFO     | tap-csv.public-territories | Beginning full_table sync of 'public-territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
