2025-01-27T01:01:22.712125Z [info     ] 2025-01-26 22:01:22,711 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.712206Z [info     ] 2025-01-26 22:01:22,712 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.712314Z [info     ] 2025-01-26 22:01:22,712 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00016188621520996094, "tags": {"stream": "region", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.712417Z [info     ] 2025-01-26 22:01:22,712 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 86546, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.712519Z [info     ] 2025-01-26 22:01:22,712 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.712618Z [info     ] 2025-01-26 22:01:22,712 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.712839Z [info     ] 2025-01-26 22:01:22,712 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0002760887145996094, "tags": {"stream": "shippers", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.713009Z [info     ] 2025-01-26 22:01:22,712 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 86546, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.713128Z [info     ] 2025-01-26 22:01:22,712 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.713206Z [info     ] 2025-01-26 22:01:22,712 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
2025-01-27T01:01:22.714327Z [info     ] 2025-01-26 22:01:22,714 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0010957717895507812, "tags": {"stream": "suppliers", "pid": 86546, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=6c362f9f-df3d-498e-a0a2-8276d7f8dc9d stdio=stderr string_id=tap-csv
