2025-01-27T00:01:43.656330Z [info     ] 2025-01-26 21:01:43,656 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656481Z [info     ] 2025-01-26 21:01:43,656 | INFO     | tap-csv.region       | Beginning full_table sync of 'region'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656607Z [info     ] 2025-01-26 21:01:43,656 | INFO     | tap-csv.region       | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656850Z [info     ] 2025-01-26 21:01:43,656 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.000274658203125, "tags": {"stream": "region", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.656978Z [info     ] 2025-01-26 21:01:43,656 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "region", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.657137Z [info     ] 2025-01-26 21:01:43,657 | INFO     | tap-csv.shippers     | Beginning full_table sync of 'shippers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.657253Z [info     ] 2025-01-26 21:01:43,657 | INFO     | tap-csv.shippers     | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.657602Z [info     ] 2025-01-26 21:01:43,657 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.00031685829162597656, "tags": {"stream": "shippers", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.657829Z [info     ] 2025-01-26 21:01:43,657 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "shippers", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.657978Z [info     ] 2025-01-26 21:01:43,657 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.658144Z [info     ] 2025-01-26 21:01:43,657 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.659232Z [info     ] 2025-01-26 21:01:43,659 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012230873107910156, "tags": {"stream": "suppliers", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.659378Z [info     ] 2025-01-26 21:01:43,659 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.659467Z [info     ] 2025-01-26 21:01:43,659 | INFO     | tap-csv.territories  | Beginning full_table sync of 'territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.659572Z [info     ] 2025-01-26 21:01:43,659 | INFO     | tap-csv.territories  | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.660708Z [info     ] 2025-01-26 21:01:43,660 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012202262878417969, "tags": {"stream": "territories", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.660826Z [info     ] 2025-01-26 21:01:43,660 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 53, "tags": {"stream": "territories", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.660931Z [info     ] 2025-01-26 21:01:43,660 | INFO     | tap-csv.us_states    | Beginning full_table sync of 'us_states'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.661028Z [info     ] 2025-01-26 21:01:43,660 | INFO     | tap-csv.us_states    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.662180Z [info     ] 2025-01-26 21:01:43,662 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012137889862060547, "tags": {"stream": "us_states", "pid": 66450, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
2025-01-27T00:01:43.662294Z [info     ] 2025-01-26 21:01:43,662 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 51, "tags": {"stream": "us_states", "pid": 66450, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=4223ed09-6568-45ca-801e-6827aaeacdf7 stdio=stderr string_id=tap-csv
